ckjg1,qywz1,qywz,zdsf1,sfbl,zxkp1,jfsj1,rjl1,lhl1,ghhs1,wyglf1,1/cwb1
16000,GG,GG,68.1,30%,2015,2016,NA,NA,NA,2.5,1.6
12000,DD,DD,31.8,30%,2014,2014,NA,NA,NA,1.8,0.6
8500,QSQS,QS,27.6,30%,2015,2015,NA,NA,NA,1.8,1
22000,XC,XH,107.7,30%,2018,2019,2.2,35%,NA,3.5,1
10000,QSQS,QS,NA,30%,2014,2015,NA,NA,NA,3.3,NA
6656,NN,NC,NA,30%,2013,2014,NA,NA,NA,0.8,NA
9800,HF,HG,22.2,30%,2015,2017,NA,NA,NA,2.6,0.8
28000,HF,HG,150.6,30%,2016,2017,3.22,40.00%,NA,NA,7.7
7800,WW,WL,18.6,30%,2015,2018,1.2,35.00%,NA,1.5,1
8300,XC,XH,NA,30%,NA,NA,NA,NA,NA,3.5,NA
9300,XC,XH,NA,30%,2015,2013,NA,NA,NA,2.5,NA
6300,GG,GG,24.5,50%,2015,2016,NA,NA,NA,2,0.7
10900,JN,JK,NA,30%,2016,2017,1.5,40.00%,NA,1.6,1.5
7000,GJ,GG,9.3,30%,2015,2013,NA,NA,NA,1.6,0.6
12000,HGHJ,HG,400,30%,2016,2017,NA,NA,NA,2.2,1.1
11642,HGHJ,HG,NA,30%,2014,2015,NA,NA,NA,2.8,NA
10000,HJ,HG,20.5,50%,2018,2020,2.56,35.00%,NA,2.6,NA
10000,HJ,HG,20.5,50%,2018,2020,2.56,35.00%,NA,2.6,NA
14000,GJ,GG,NA,30%,2013,2013,NA,NA,NA,3.18,NA
5000,WW,WL,NA,30%,2014,2016,NA,NA,NA,1.5,NA
13000,NX,NC,35.4,30%,2017,2018,1.8,37.24%,NA,1.6,1.4
19000,NN,NC,NA,50%,NA,NA,NA,NA,NA,NA,NA
7300,XC,XH,11.5,50%,2015,2014,NA,NA,NA,3,NA
6000,GAGA,GA,39,30%,2016,2017,NA,NA,NA,NA,2
9000,NX,NC,21,50%,2018,2020,2.6,32.00%,NA,1.9,1.7
11000,XC,XH,NA,30%,2017,2019,2.8,30.00%,NA,2.6,0.5
